db_file,total_return,buy_hold_return,sharpe_ratio,trade_count
KRW_NEO.db,0.0,0.0030959752321955136,0.008075730920770312,1
KRW_ONDO.db,0.0,0.012185047501034107,,0
KRW_ONG.db,0.0,0.007439712673165788,,0
KRW_ONT.db,-0.0017421602787456303,0.01871657754010725,-6.427744946790904,1
KRW_ORBS.db,0.0,0.0017286084701815252,,0
KRW_PENDLE.db,0.0,0.0057931034482756605,,0
KRW_POLYX.db,0.0,0.00496277915632648,,0
KRW_POWR.db,0.0007701193685019092,-0.0019215987701746151,2.784923085517125,1
KRW_PUNDIX.db,-0.00018864365214110723,0.01836077985992879,-24.654395064164515,1
KRW_PYTH.db,-0.0013089005235602524,0.006842105263158427,-23.717787202058837,1
KRW_QKC.db,0.0,0.006701414743110812,,0
KRW_QTUM.db,0.0,-0.010614345448697216,,0
